Unnamed: 0,casenum,statenum,vehnum,day,month,year,landuse,age,vfatcount,numoccs,modelyr,cellphone_use
1497,1362,12,1,11,6,2016,2,40,0,1,2008,1
836,191,42,1,17,3,2016,1,45,1,2,2003,1
1356,822,42,1,8,11,2016,2,21,0,2,2008,1
505,974,26,3,24,12,2016,2,71,0,1,2007,0
1467,504,8,1,30,12,2015,2,33,0,1,2003,1
1200,870,4,1,27,12,2016,2,33,0,1,2006,1
1630,593,22,1,25,9,2015,2,20,1,1,2011,1
150,3049,12,1,25,9,2016,2,23,1,1,2008,0
38,313,17,1,22,3,2015,2,19,0,3,2005,0
599,1269,37,1,18,12,2016,1,19,0,1,2001,0
1612,196,21,1,30,4,2016,1,35,1,1,1995,1
977,730,48,2,20,3,2016,1,18,3,4,2013,1
455,424,42,1,26,6,2016,1,73,0,2,2016,0
646,1298,13,2,22,12,2015,2,45,0,3,2003,0
1500,577,48,1,22,3,2015,1,17,2,2,2000,1
412,40,34,2,23,2,2015,2,46,0,2,2014,0
139,525,36,1,16,8,2015,1,31,2,3,2002,0
814,716,22,1,28,10,2016,2,35,1,1,2014,0
1046,890,47,5,26,11,2016,2,18,0,1,2002,1
438,1839,48,1,3,7,2016,1,52,1,1,2013,0
849,1287,13,1,23,11,2016,1,61,2,2,2010,1
163,1356,48,1,10,5,2015,2,18,0,1,2005,0
483,109,51,1,17,3,2015,2,58,0,1,2005,0
5,1101,12,2,29,5,2016,1,65,1,1,2010,0
634,69,27,4,1,4,2016,2,45,0,1,2009,0
361,910,17,1,29,11,2015,2,26,1,1,2007,0
269,1625,48,2,26,6,2016,1,26,1,1,1997,0
179,216,12,3,5,3,2016,2,35,0,3,2015,0
223,53,13,2,18,1,2016,2,34,0,2,2006,0
1157,931,47,1,14,12,2016,1,73,1,1,2008,1
356,1523,6,1,7,7,2015,2,34,1,3,2007,0
488,824,36,4,30,10,2015,2,27,0,1,2004,0
847,395,13,1,20,4,2016,1,20,1,1,2004,1
519,415,41,1,26,11,2016,2,58,1,1,2004,0
1542,680,21,1,28,11,2016,1,19,0,1,2004,1
1306,394,18,1,10,6,2015,2,54,2,2,1994,1
1435,357,25,1,14,10,2016,2,17,1,3,2003,1
339,780,18,1,28,12,2016,1,33,1,2,2000,0
42,2268,48,1,26,9,2015,2,22,1,1,2011,0
735,213,51,1,21,5,2016,1,28,1,1,1994,0
146,2342,12,1,2,12,2015,2,46,0,1,2010,0
1658,561,48,1,19,3,2015,1,38,1,1,1996,1
1450,1862,12,1,25,9,2015,2,45,0,1,2000,1
963,56,10,1,6,8,2016,2,18,0,2,2014,1
1486,318,47,2,16,5,2016,1,73,0,1,2002,1
536,119,16,1,20,7,2016,1,54,1,1,1989,0
481,107,21,1,15,3,2016,2,48,0,1,1999,0
1518,2881,6,1,20,11,2015,2,24,0,1,2002,1
1625,645,47,1,25,9,2015,1,57,1,1,2006,1
291,208,6,1,8,2,2015,2,49,1,1,1996,0
1146,329,18,1,20,6,2016,1,17,1,1,2000,1
1241,352,17,1,29,6,2015,1,58,1,1,1999,1
857,689,47,2,24,9,2016,1,38,0,1,2002,1
622,656,26,1,2,10,2015,2,72,0,1,2001,0
71,875,6,1,20,4,2015,2,80,0,1,2009,0
1050,59,20,1,20,3,2015,1,32,1,1,2005,1
875,1031,6,1,2,5,2015,2,36,0,4,2005,1
870,455,39,1,5,7,2015,1,16,0,2,2012,1
1618,330,21,1,17,6,2016,2,68,1,1,2007,1
362,466,24,3,27,12,2016,2,42,0,1,2012,0
70,423,12,1,5,1,2016,2,57,0,2,2009,0
1404,29,49,1,20,3,2016,1,21,0,2,2006,1
91,988,6,1,24,5,2015,2,28,0,1,1999,0
1461,1640,6,1,28,9,2015,1,22,1,3,2009,1
1276,507,17,1,16,7,2016,2,28,0,1,2008,1
1263,211,55,1,15,6,2016,2,38,1,2,2007,1
1544,1136,13,1,12,11,2015,1,19,1,1,2005,1
1097,378,8,1,10,9,2016,2,34,1,4,2016,1
95,15,32,1,22,1,2016,2,51,1,1,1995,0
392,283,34,2,21,6,2016,2,17,0,4,2010,0
600,413,48,1,25,2,2015,1,80,1,1,2007,0
1191,2644,12,1,7,12,2016,2,25,1,1,2005,1
292,314,47,1,30,5,2015,1,22,1,1,1992,0
882,2205,48,1,26,8,2016,1,29,1,2,2012,1
1140,1277,37,1,26,12,2016,2,27,0,1,1998,1
320,430,40,1,30,9,2015,1,21,0,1,2008,0
1396,531,47,1,20,8,2015,2,16,0,1,2004,1
110,86,13,1,27,1,2015,2,15,1,2,2005,0
1100,26,47,1,20,1,2015,2,21,0,2,2005,1
1295,613,39,2,28,8,2015,2,28,0,1,2001,1
93,2853,12,1,2,12,2016,2,21,0,1,2000,0
1525,3077,48,1,23,12,2015,1,19,1,2,1997,1
633,58,45,2,30,1,2016,1,77,1,2,2012,0
1234,833,12,1,23,4,2016,2,22,1,2,2006,1
1505,205,13,1,4,3,2015,1,28,1,1,1990,1
1019,465,51,1,18,9,2015,1,33,1,1,2000,1
1651,447,47,2,30,6,2016,2,57,1,2,1998,1
1557,708,47,3,22,9,2016,1,32,0,1,2002,1
156,362,27,1,31,12,2016,2,46,0,1,2012,0
1096,265,48,1,5,2,2016,1,29,1,3,2001,1
1464,341,47,1,26,5,2016,1,26,0,1,1999,1
365,271,40,1,3,7,2016,1,23,2,2,2008,0
157,307,29,1,3,6,2016,1,39,1,1,1997,0
171,47,6,1,7,1,2015,2,93,0,1,2001,0
1358,96,19,1,4,6,2015,1,38,1,1,2012,1
716,1047,48,1,23,4,2016,2,19,1,1,1997,0
230,3,8,2,4,1,2015,2,39,0,2,2007,0
1125,1172,13,1,27,10,2016,2,43,1,1,2002,1
1139,419,47,1,20,6,2016,1,46,0,1,2003,1
458,583,48,1,23,3,2015,2,41,0,2,2011,0
1072,997,12,1,15,5,2016,1,32,2,2,2005,1
286,365,4,1,7,6,2015,2,26,0,1,1994,0
734,2553,48,1,8,10,2016,1,22,0,1,2002,0
94,767,48,2,18,4,2015,2,39,0,4,2014,0
631,3323,48,3,18,12,2016,2,53,0,1,2005,0
162,775,29,1,4,12,2016,2,24,1,2,2011,0
1150,1917,48,1,10,8,2015,1,17,0,2,2011,1
815,98,20,1,13,3,2015,1,79,0,1,2005,0
430,1967,12,1,10,9,2016,2,21,0,3,2011,0
431,335,27,1,29,11,2016,1,15,1,2,2000,0
830,1130,12,1,20,2,2016,2,16,1,1,2006,0
1556,28,12,1,22,1,2016,1,28,1,1,2004,1
723,571,39,1,20,7,2016,1,22,1,1,2013,0
942,175,49,1,31,8,2015,2,67,0,1,2000,1
387,305,51,1,29,6,2016,1,80,1,1,2001,0
380,477,45,2,24,7,2015,2,38,0,1,2015,0
1269,438,34,2,3,8,2016,2,28,0,1,2014,1
1118,87,51,1,1,3,2016,2,61,0,1,2014,1
1235,1325,6,2,28,5,2015,2,45,0,1,2006,1
757,4,38,1,20,1,2016,1,43,1,1,2004,0
1197,695,47,1,14,9,2016,2,38,1,1,2016,1
1112,420,29,1,18,7,2016,1,52,1,1,2005,1
1215,202,48,1,29,1,2016,1,27,1,8,2003,1
1413,2479,48,1,19,10,2015,2,27,1,1,2012,1
1303,264,12,1,28,2,2015,1,21,1,1,2011,1
1014,52,55,1,25,2,2016,2,35,1,3,2006,1
1517,109,40,2,25,1,2015,2,30,0,1,2007,1
1121,805,29,1,25,11,2016,1,17,1,1,2005,1
1504,824,1,1,4,12,2016,1,16,1,1,2010,1
681,1401,48,3,8,6,2016,1,25,0,1,2008,0
1285,345,47,1,10,6,2015,2,45,0,1,2007,1
838,674,39,1,28,8,2016,1,50,1,3,2002,1
31,269,21,2,21,4,2016,1,56,0,1,2001,0
553,290,26,1,14,6,2015,2,21,0,2,2009,0
492,8,25,1,18,1,2015,1,18,1,3,2003,0
725,57,18,1,3,2,2016,2,31,1,3,2002,0
1649,378,47,1,26,6,2015,2,25,0,1,2005,1
1644,46,27,2,29,2,2016,1,20,0,1,2008,1
1182,620,17,1,27,8,2016,1,22,1,1,2010,1
1493,127,47,1,5,3,2016,2,27,1,2,2015,1
136,2089,6,1,9,11,2015,1,47,1,2,2015,0
1002,374,1,1,31,7,2015,1,23,0,1,2005,1
36,140,21,2,1,4,2016,1,29,0,2,1999,0
957,1374,48,1,16,6,2015,2,20,0,1,2001,1
595,481,29,2,7,8,2016,1,65,0,1,1999,0
101,1030,13,1,18,10,2015,1,30,1,4,2006,0
1171,700,47,1,28,9,2016,2,29,1,1,2005,1
1273,349,47,1,17,6,2015,2,19,1,1,2012,1
588,3034,12,1,13,8,2016,2,43,0,2,2004,0
1384,2924,48,1,14,11,2016,1,34,1,2,2013,1
858,2002,48,1,26,8,2015,1,51,1,1,2003,1
437,2910,6,1,13,5,2016,2,69,0,1,2011,0
60,2772,48,1,31,10,2016,2,43,1,1,2003,0
330,611,42,1,27,12,2015,2,26,1,2,2006,0
1264,420,47,1,12,6,2016,1,37,1,1,2007,1
1572,504,47,1,11,8,2015,1,26,1,1,2013,1
897,828,47,1,5,11,2016,1,24,1,2,2006,1
1044,854,13,1,5,9,2015,2,39,0,3,2007,1
1347,965,39,1,26,10,2015,2,34,1,1,2003,1
1539,383,8,1,30,9,2015,1,40,1,1,2010,1
1282,495,8,1,19,12,2015,1,34,1,2,2001,1
161,2294,48,1,3,10,2015,2,36,0,5,1996,0
327,212,8,1,20,6,2015,1,53,1,1,2014,0
253,791,45,1,20,11,2015,1,22,0,1,1994,0
1442,1307,48,2,12,4,2015,1,30,1,1,2008,1
1230,728,48,2,8,4,2015,1,53,1,2,1998,1
1457,968,48,1,9,5,2015,2,17,1,1,1999,1
755,409,13,1,25,4,2016,2,42,2,2,2005,0
190,112,21,1,9,3,2015,2,27,0,1,2000,0
584,2207,6,1,1,12,2016,1,23,0,2,2006,0
119,169,41,1,18,6,2016,1,21,1,1,2012,0
1201,525,37,1,30,5,2016,1,41,0,1,2002,1
1195,2272,48,1,3,9,2016,1,26,0,2,1998,1
726,1661,6,2,11,10,2015,1,53,1,1,1999,0
1260,3097,6,1,26,8,2015,1,35,0,1,2014,1
1020,301,20,1,29,10,2016,1,18,1,1,2004,1
1537,403,47,1,12,1,2015,2,37,1,2,2000,1
643,213,17,3,9,4,2016,2,20,0,1,2002,0
1538,3036,6,1,1,7,2016,2,35,0,1,2013,1
920,550,47,2,31,8,2015,2,54,0,1,2009,1
1377,1362,48,1,5,6,2015,2,21,2,4,2005,1
896,712,17,1,23,9,2016,2,18,1,1,2007,1
1398,57,42,1,31,1,2015,1,51,1,1,2012,1
864,131,32,1,28,4,2015,2,35,1,1,2004,1
62,230,40,1,28,5,2015,1,61,1,1,9999,0
12,410,28,2,24,9,2015,2,51,0,1,1999,0
544,163,39,1,22,3,2015,2,21,1,2,2005,0
262,20,40,2,15,1,2016,2,39,1,1,2001,0
529,569,47,1,20,6,2016,2,30,1,2,2001,0
624,1087,6,2,6,2,2016,2,19,0,2,1998,0
0,3053,6,1,26,12,2015,2,43,0,2,2011,0
247,89,40,1,10,3,2016,2,31,1,1,1999,0
306,69,41,1,31,3,2016,1,51,1,1,2003,0
366,704,42,22,7,1,2015,1,34,0,1,1999,0
768,233,40,1,27,6,2015,1,34,0,1,2008,0
494,304,48,1,10,2,2016,2,18,1,2,2006,0
1406,554,29,1,5,9,2016,2,60,0,1,2000,1
305,26,46,1,1,5,2016,1,20,2,2,1998,0
1382,838,17,1,22,10,2016,2,43,0,1,2013,1
102,344,21,2,25,7,2015,1,17,0,1,2005,0
421,683,6,1,9,5,2016,1,62,1,1,2005,0
302,306,36,1,26,2,2015,1,33,1,1,2014,0
698,235,49,1,27,11,2015,2,66,1,2,2002,0
1621,3187,48,2,3,2,2015,1,32,3,3,2003,1
1429,510,51,1,24,9,2016,2,20,0,2,1996,1
1023,42,21,1,24,1,2016,2,45,1,1,2001,1
1243,2429,48,1,13,10,2015,1,33,1,1,1990,1
937,141,19,1,29,7,2015,1,23,0,1,2013,1
196,5,32,1,13,1,2016,2,37,1,1,2005,0
1386,136,6,1,28,1,2015,1,23,0,1,2007,1
1647,95,10,1,6,7,2016,1,18,0,1,2009,1
309,564,4,1,16,9,2016,2,35,1,4,2000,0
709,1717,12,2,17,8,2015,2,29,0,1,2014,0
621,1040,13,1,21,10,2015,2,72,1,2,2010,0
567,931,13,2,23,9,2015,1,56,1,1,2014,0
609,519,36,2,23,7,2016,2,49,0,1,2012,0
1255,178,39,1,4,4,2015,2,31,1,1,1994,1
404,1531,6,1,14,5,2016,2,45,0,2,2003,0
401,1036,42,1,19,11,2016,1,58,1,1,2000,0
1558,349,18,1,27,6,2016,1,20,0,1,2010,1
1594,3465,48,1,19,12,2016,2,16,1,3,2010,1
745,232,39,2,17,4,2015,1,56,1,1,2002,0
333,1278,48,4,23,5,2016,1,39,0,2,2005,0
804,344,37,2,18,3,2015,1,33,1,2,1994,0
1278,815,39,1,30,9,2016,2,40,1,1,2013,1
476,281,28,1,16,6,2016,1,47,3,3,2007,0
786,835,45,1,29,11,2016,2,53,1,2,2000,0
866,871,47,2,17,11,2016,2,55,1,1,2011,1
1308,859,47,2,13,12,2015,1,34,0,1,1995,1
46,517,21,1,26,9,2016,1,39,1,4,2004,0
459,685,18,2,23,9,2015,1,48,0,2,2012,0
135,138,17,1,5,3,2016,1,17,1,3,2009,0
1632,321,6,1,16,2,2015,1,48,0,1,2010,1
1025,351,47,1,18,6,2015,1,61,1,1,2001,1
660,119,21,3,15,3,2016,2,60,1,2,1999,0
1422,560,29,1,19,9,2015,1,17,1,3,2007,1
509,249,5,1,15,7,2016,1,39,4,4,1997,0
1027,167,1,1,11,4,2015,1,23,1,1,2003,1
344,3,33,1,12,1,2016,2,76,1,1,2011,0
1151,249,47,1,25,4,2016,2,64,0,1,2009,1
913,3567,6,1,9,11,2016,2,58,0,1,1998,1
1503,382,48,1,20,2,2016,1,49,1,4,2015,1
134,1138,13,1,19,10,2016,1,66,1,1,1992,0
941,883,48,1,9,4,2016,2,26,2,2,2013,1
314,2537,6,1,17,5,2015,2,22,1,1,2003,0
69,1001,6,1,10,7,2016,2,66,0,1,1999,0
1231,151,42,1,19,3,2016,2,19,0,2,2011,1
1552,71,36,1,19,2,2015,2,27,0,1,2012,1
591,1187,48,2,27,5,2015,2,29,1,1,1989,0
662,701,37,3,23,7,2016,2,22,0,1,2013,0
759,639,36,2,22,7,2015,2,62,0,1,2000,0
1387,2944,48,1,9,12,2015,2,64,1,1,2002,1
113,170,19,1,17,6,2016,2,74,0,1,2005,0
1052,1352,13,1,9,12,2016,1,46,1,1,2016,1
1321,264,8,1,27,7,2015,1,43,1,1,2013,1
933,448,40,1,14,10,2016,1,34,1,2,2003,1
1588,472,55,1,18,11,2016,1,21,1,3,1993,1
1274,582,17,1,4,9,2015,1,29,1,1,2007,1
1102,2119,48,1,13,9,2015,1,28,1,2,2006,1
578,772,29,1,27,11,2016,2,58,1,1,2002,0
881,206,47,2,9,4,2016,1,50,0,1,2004,1
1463,112,17,1,27,2,2016,1,21,1,4,2005,1
923,971,47,1,4,12,2016,1,35,1,2,2012,1
1327,2341,12,1,3,11,2016,2,49,0,1,1995,1
85,698,47,1,23,10,2015,2,54,0,1,1998,0
1304,422,42,1,11,6,2015,1,29,1,1,2004,1
1049,230,47,1,14,4,2016,2,56,1,1,2007,1
1660,83,23,1,11,8,2015,1,24,1,1,2000,1
451,216,18,1,14,5,2015,2,51,1,1,1995,0
936,927,47,2,30,10,2016,1,60,0,1,1994,1
863,901,37,1,5,9,2016,1,23,1,1,1998,1
1608,682,18,1,19,11,2016,1,26,0,1,2000,1
1305,485,55,1,11,12,2015,1,54,0,1,2011,1
693,244,1,2,7,5,2015,2,62,1,1,1998,0
1128,853,13,1,4,9,2015,1,27,1,5,2003,1
1510,137,30,1,16,9,2016,1,26,1,1,2013,1
1296,170,4,1,26,3,2015,2,21,1,5,2005,1
1645,526,37,1,7,6,2015,2,22,0,1,2009,1
1641,418,1,1,7,8,2015,1,17,1,1,1996,1
1134,865,17,1,14,12,2015,1,28,1,1,2003,1
1107,618,51,1,3,12,2015,1,32,1,2,2011,1
1239,1691,6,1,17,4,2015,2,23,0,1,2003,1
1383,464,37,1,19,5,2016,1,27,0,1,2005,1
377,372,29,2,16,7,2015,2,81,1,2,1998,0
1017,465,12,1,21,3,2015,1,41,0,1,1999,1
654,558,26,1,20,8,2016,2,32,0,1,2008,0
210,2342,48,2,14,9,2016,1,20,0,1,2002,0
1407,34,24,1,11,2,2015,1,27,1,1,2001,1
295,1457,6,1,27,8,2016,2,19,1,1,2016,0
1590,162,42,1,31,3,2016,1,25,1,1,2003,1
839,2025,48,1,31,8,2015,2,35,0,1,2009,1
1567,591,1,1,2,11,2015,1,30,1,1,1999,1
1309,289,47,2,20,5,2015,2,17,0,2,2005,1
571,962,36,1,27,11,2015,1,85,1,1,2011,0
834,629,18,1,31,10,2016,1,19,0,1,2000,1
118,259,24,1,23,8,2016,2,63,0,1,2006,0
326,96,5,3,21,3,2015,1,46,0,3,2014,0
1302,159,4,1,17,3,2015,1,54,1,1,1999,1
531,975,36,1,22,12,2015,1,37,1,1,2009,0
106,61,33,2,17,7,2016,1,37,0,2,2016,0
332,711,37,1,16,7,2016,2,49,1,1,2010,0
99,140,41,1,20,5,2016,1,20,1,1,1985,0
1075,45,33,1,13,5,2016,2,19,1,3,2004,1
607,230,25,3,22,8,2015,1,64,1,1,2000,0
1133,74,47,1,10,2,2016,1,36,1,1,2003,1
1373,5,25,1,18,1,2015,2,24,1,1,2001,1
192,185,53,1,10,6,2016,2,76,1,2,1996,0
393,120,28,2,7,3,2016,2,61,0,1,2003,0
486,62,19,1,17,4,2015,1,62,1,1,2004,0
121,1864,12,2,20,8,2016,2,52,0,5,1995,0
1607,185,20,1,18,7,2016,1,24,0,1,2007,1
115,892,6,2,22,4,2015,2,54,0,1,2009,0
59,260,4,2,21,4,2016,2,67,0,2,2006,0
1253,298,37,2,20,2,2015,2,32,0,1,2008,1
555,681,26,2,15,10,2015,2,37,1,1,2009,0
651,330,41,2,15,11,2015,2,31,1,4,2000,0
468,98,24,1,19,4,2016,2,24,1,1,2005,0
1597,349,8,1,4,8,2016,2,41,1,1,2016,1
147,831,45,1,27,11,2016,1,18,1,4,2003,0
851,37,47,1,23,1,2015,1,22,1,1,2003,1
15,2902,48,1,3,12,2015,2,69,0,1,2007,0
1148,445,47,1,24,7,2015,1,51,1,1,2007,1
705,711,42,1,26,8,2015,1,28,1,1,1995,0
391,38,13,2,15,1,2016,1,86,0,1,2002,0
1137,1186,48,1,10,5,2016,1,26,1,1,2015,1
497,8,45,2,5,1,2015,2,70,1,1,2002,0
207,56,24,2,15,3,2015,1,58,2,2,2014,0
1445,1755,48,1,30,7,2015,1,19,0,1,2000,1
1395,1425,48,1,27,6,2015,1,19,1,2,1998,1
641,3078,48,1,21,11,2016,1,64,1,2,2004,0
450,33,24,2,9,1,2016,2,48,1,1,2014,0
574,356,26,2,4,7,2015,2,42,1,4,2008,0
680,1959,12,1,17,5,2016,2,20,1,2,1993,0
442,84,37,2,31,1,2015,1,39,0,1,2004,0
186,1913,12,1,4,9,2016,2,23,0,1,1999,0
257,1322,12,1,21,5,2016,2,95,1,1,2006,0
802,1548,12,1,15,8,2015,2,62,1,1,2000,0
819,425,53,1,27,10,2015,1,48,1,3,2000,0
54,1274,37,2,26,10,2015,2,62,1,1,2006,0
1375,876,26,1,30,12,2015,1,31,0,1,2015,1
996,534,48,1,15,3,2015,2,33,0,1,2004,1
252,10,39,2,14,1,2016,1,66,1,2,2014,0
1527,61,29,1,10,2,2016,1,29,1,1,2011,1
1289,520,47,1,20,8,2015,1,30,1,1,1997,1
1138,767,1,1,13,10,2015,2,64,1,1,1995,1
1000,83,47,1,10,2,2015,1,20,0,1,1993,1
214,30,15,2,6,5,2016,2,50,0,1,2011,0
178,990,47,2,23,11,2016,2,52,1,1,2012,0
92,391,47,2,2,7,2015,1,67,1,2,1989,0
1408,607,26,1,14,9,2015,2,50,1,2,2004,1
1287,492,53,1,8,12,2016,2,30,0,1,1995,1
952,90,21,1,12,2,2015,1,57,1,1,1982,1
689,1220,13,1,8,11,2016,2,85,1,1,2001,0
1521,1059,48,1,1,2,2015,2,16,0,1,2007,1
1293,175,47,2,5,4,2015,2,34,0,6,2015,1
169,200,22,2,24,4,2016,1,27,0,1,2004,0
1176,261,47,4,2,5,2015,2,33,0,2,2011,1
1490,789,26,1,7,11,2015,1,17,1,1,1999,1
307,1360,12,1,18,7,2015,2,21,1,2,2002,0
770,1509,48,2,16,6,2016,2,34,0,2,2004,0
808,645,18,4,21,10,2016,1,51,0,1,1998,0
457,54,48,1,8,1,2016,2,40,1,1,2002,0
1353,134,25,1,5,9,2015,2,35,0,1,1998,1
1254,963,48,1,6,5,2015,2,21,1,1,2003,1
668,2605,6,1,13,12,2015,1,40,2,4,1998,0
729,691,36,1,30,6,2015,2,24,2,4,2010,0
966,261,47,3,2,5,2015,2,39,0,3,2003,1
1256,256,8,1,22,7,2015,1,28,1,1,2000,1
1454,454,47,1,29,6,2016,1,18,2,3,2004,1
570,510,55,1,25,12,2015,2,47,1,2,2000,0
628,126,55,1,16,4,2016,2,40,0,1,2014,0
41,159,26,1,31,3,2016,2,18,0,2,2009,0
929,132,24,1,2,5,2015,1,18,1,1,2003,1
1536,500,8,1,23,12,2015,2,35,2,2,2002,1
1245,24,10,1,26,1,2016,1,60,0,1,2016,1
1163,2517,6,1,2,8,2016,2,55,0,1,2005,1
184,541,45,1,11,8,2015,2,50,1,1,2010,0
274,494,5,1,13,12,2016,2,24,0,1,2007,0
1225,362,8,1,16,9,2015,1,35,0,1,2009,1
1559,1479,48,1,3,7,2015,2,40,0,1,2002,1
824,428,37,1,8,5,2015,1,52,0,1,1997,0
469,843,39,1,21,10,2016,2,37,1,2,1997,0
765,909,39,2,7,11,2015,2,60,0,1,2008,0
1242,871,47,3,17,11,2016,2,50,0,1,2013,1
1,180,1,2,18,4,2015,1,48,0,1,2014,0
663,516,4,1,15,8,2015,1,25,1,5,2004,0
650,130,32,2,9,7,2016,1,77,0,1,2005,0
1007,539,6,1,1,2,2016,2,68,1,2,2012,1
990,2315,48,1,5,10,2015,1,31,1,1,2011,1
194,275,55,1,6,8,2015,1,83,1,1,2005,0
1108,1447,48,1,24,6,2015,2,33,1,1,2011,1
1111,93,23,2,18,9,2015,1,27,0,1,2012,1
1380,438,40,1,8,10,2016,1,28,1,1,2004,1
51,356,51,1,27,7,2015,1,32,1,1,1998,0
435,386,48,1,30,1,2015,1,26,0,6,2015,0
267,1070,42,1,23,10,2015,2,80,1,1,1998,0
516,1206,13,3,3,12,2015,2,23,0,1,2015,0
1349,261,19,1,5,12,2015,1,19,2,2,2010,1
639,889,48,2,11,4,2016,1,34,0,1,2002,0
270,164,12,1,31,1,2015,2,62,0,1,2005,0
1381,2951,6,1,25,8,2016,2,24,0,1,2015,1
241,1169,48,2,22,1,2016,2,62,0,1,2011,0
554,877,4,2,15,11,2016,2,59,1,2,2002,0
329,639,12,2,9,4,2016,2,23,0,1,1999,0
1411,2273,12,1,24,10,2015,2,36,0,3,2009,1
959,722,39,1,10,9,2016,2,37,0,1,2005,1
891,3480,48,1,17,12,2016,2,34,0,1,1995,1
724,378,22,1,3,8,2015,2,28,1,2,2004,0
594,2324,12,2,26,10,2016,1,54,1,2,2013,0
1543,72,47,2,7,2,2016,1,43,0,1,2001,1
970,144,19,1,7,8,2015,1,18,1,1,1997,1
563,342,6,1,23,2,2015,1,26,1,2,2008,0
